Color,Color Name,hexadecimal value,Red,Green,Blue,Season
persian_rose,Persian Rose,#fe28a2,254,40,162,Spring
peru,Peru,#cd853f,205,133,63,Spring
piggy_pink,Piggy Pink,#fddde6,253,221,230,Spring
pink,Pink,#ffc0cb,255,192,203,Spring
pink_lace,Pink Lace,#ffddf4,255,221,244,Spring
pink_orange,Pink-Orange,#f96,255,153,102,Spring
pink_pearl,Pink Pearl,#e7accf,231,172,207,Spring
pink_sherbet,Pink Sherbet,#f78fa7,247,143,167,Spring
pistachio,Pistachio,#93c572,147,197,114,Spring
platinum,Platinum,#e5e4e2,229,228,226,Spring
puce,Puce,#c89,204,136,153,Spring
purple_pizzazz,Purple Pizzazz,#fe4eda,254,78,218,Spring
radical_red,Radical Red,#ff355e,255,53,94,Spring
rajah,Rajah,#fbab60,251,171,96,Spring
raspberry_pink,Raspberry Pink,#e25098,226,80,152,Spring
razzle_dazzle_rose,Razzle Dazzle Rose,#f3c,255,51,204,Spring
red_orange,Red-Orange,#ff5349,255,83,73,Spring
rose_bonbon,Rose Bonbon,#f9429e,249,66,158,Spring
rose_gold,Rose Gold,#b76e79,183,110,121,Spring
rose_pink,Rose Pink,#f6c,255,102,204,Spring
rose_quartz,Rose Quartz,#aa98a9,170,152,169,Spring
rosy_brown,Rosy Brown,#bc8f8f,188,143,143,Spring
royal_yellow,Royal Yellow,#fada5e,250,218,94,Spring
ruddy_pink,Ruddy Pink,#e18e96,225,142,150,Spring
saffron,Saffron,#f4c430,244,196,48,Spring
salmon,Salmon,#ff8c69,255,140,105,Spring
salmon_pink,Salmon Pink,#ff91a4,255,145,164,Spring
sand,Sand,#c2b280,194,178,128,Spring
sandstorm,Sandstorm,#ecd540,236,213,64,Spring
sandy_brown,Sandy Brown,#f4a460,244,164,96,Spring
satin_sheen_gold,Satin Sheen Gold,#cba135,203,161,53,Spring
school_bus_yellow,School Bus Yellow,#ffd800,255,216,0,Spring
seashell,Seashell,#fff5ee,255,245,238,Spring
selective_yellow,Selective Yellow,#ffba00,255,186,0,Spring
shocking_pink,Shocking Pink,#fc0fc0,252,15,192,Spring
sky_magenta,Sky Magenta,#cf71af,207,113,175,Spring
snow,Snow,#fffafa,255,250,250,Spring
spring_bud,Spring Bud,#a7fc00,167,252,0,Spring
stil_de_grain_yellow,Stil De Grain Yellow,#fada5e,250,218,94,Spring
straw,Straw,#e4d96f,228,217,111,Spring
sunglow,Sunglow,#fc3,255,204,51,Spring
sunset,Sunset,#fad6a5,250,214,165,Spring
tan,Tan,#d2b48c,210,180,140,Spring
tangerine_yellow,Tangerine Yellow,#fc0,255,204,0,Spring
tango_pink,Tango Pink,#e4717a,228,113,122,Spring
taupe_gray,Taupe Gray,#8b8589,139,133,137,Spring
tea_green,Tea Green,#d0f0c0,208,240,192,Spring
tea_rose_orange,Tea Rose (Orange),#f88379,248,131,121,Spring
tea_rose_rose,Tea Rose (Rose),#f4c2c2,244,194,194,Spring
terra_cotta,Terra Cotta,#e2725b,226,114,91,Spring
thulian_pink,Thulian Pink,#de6fa1,222,111,161,Spring
tickle_me_pink,Tickle Me Pink,#fc89ac,252,137,172,Spring
tiger_s_eye,Tiger'S Eye,#e08d3c,224,141,60,Spring
timberwolf,Timberwolf,#dbd7d2,219,215,210,Spring
titanium_yellow,Titanium Yellow,#eee600,238,230,0,Spring
tomato,Tomato,#ff6347,255,99,71,Spring
topaz,Topaz,#ffc87c,255,200,124,Spring
tumbleweed,Tumbleweed,#deaa88,222,170,136,Spring
turkish_rose,Turkish Rose,#b57281,181,114,129,Spring
ucla_gold,Ucla Gold,#ffb300,255,179,0,Spring
unbleached_silk,Unbleached Silk,#ffddca,255,221,202,Spring
unmellow_yellow,Unmellow Yellow,#ff6,255,255,102,Spring
urobilin,Urobilin,#e1ad21,225,173,33,Spring
usc_gold,Usc Gold,#fc0,255,204,0,Spring
vanilla,Vanilla,#f3e5ab,243,229,171,Spring
vegas_gold,Vegas Gold,#c5b358,197,179,88,Spring
vivid_tangerine,Vivid Tangerine,#ffa089,255,160,137,Spring
wheat,Wheat,#f5deb3,245,222,179,Spring
wild_strawberry,Wild Strawberry,#ff43a4,255,67,164,Spring
wild_watermelon,Wild Watermelon,#fc6c85,252,108,133,Spring
wood_brown,Wood Brown,#c19a6b,193,154,107,Spring
yellow,Yellow,#ff0,255,255,0,Spring
yellow_green,Yellow-Green,#9acd32,154,205,50,Spring
yellow_munsell,Yellow (Munsell),#efcc00,239,204,0,Spring
yellow_ncs,Yellow (Ncs),#ffd300,255,211,0,Spring
yellow_orange,Yellow Orange,#ffae42,255,174,66,Spring
yellow_process,Yellow (Process),#ffef00,255,239,0,Spring
yellow_ryb,Yellow (Ryb),#fefe33,254,254,51,Spring
