Color,Color Name,hexadecimal value,Red,Green,Blue,Season
otter_brown,Otter Brown,#654321,101,67,33,Autumn
ou_crimson_red,Ou Crimson Red,#900,153,0,0,Autumn
palatinate_purple,Palatinate Purple,#682860,104,40,96,Autumn
pale_brown,Pale Brown,#987654,152,118,84,Autumn
pale_carmine,Pale Carmine,#af4035,175,64,53,Autumn
pansy_purple,Pansy Purple,#78184a,120,24,74,Autumn
pastel_brown,Pastel Brown,#836953,131,105,83,Autumn
persian_plum,Persian Plum,#701c1c,112,28,28,Autumn
persian_red,Persian Red,#c33,204,51,51,Autumn
persimmon,Persimmon,#ec5800,236,88,0,Autumn
plum_traditional,Plum (Traditional),#8e4585,142,69,133,Autumn
portland_orange,Portland Orange,#ff5a36,255,90,54,Autumn
princeton_orange,Princeton Orange,#ff8f00,255,143,0,Autumn
prune,Prune,#701c1c,112,28,28,Autumn
pumpkin,Pumpkin,#ff7518,255,117,24,Autumn
purple_taupe,Purple Taupe,#50404d,80,64,77,Autumn
quartz,Quartz,#51484f,81,72,79,Autumn
raspberry,Raspberry,#e30b5d,227,11,93,Autumn
raspberry_glace,Raspberry Glace,#915f6d,145,95,109,Autumn
raspberry_rose,Raspberry Rose,#b3446c,179,68,108,Autumn
raw_umber,Raw Umber,#826644,130,102,68,Autumn
razzmatazz,Razzmatazz,#e3256b,227,37,107,Autumn
red,Red,#f00,255,0,0,Autumn
red_brown,Red-Brown,#a52a2a,165,42,42,Autumn
red_devil,Red Devil,#860111,134,1,17,Autumn
red_munsell,Red (Munsell),#f2003c,242,0,60,Autumn
red_ncs,Red (Ncs),#c40233,196,2,51,Autumn
red_pigment,Red (Pigment),#ed1c24,237,28,36,Autumn
red_ryb,Red (Ryb),#fe2712,254,39,18,Autumn
red_violet,Red-Violet,#c71585,199,21,133,Autumn
redwood,Redwood,#ab4e52,171,78,82,Autumn
rich_carmine,Rich Carmine,#d70040,215,0,64,Autumn
rich_maroon,Rich Maroon,#b03060,176,48,96,Autumn
rifle_green,Rifle Green,#414833,65,72,51,Autumn
rose,Rose,#ff007f,255,0,127,Autumn
rose_ebony,Rose Ebony,#674846,103,72,70,Autumn
rose_madder,Rose Madder,#e32636,227,38,54,Autumn
rose_taupe,Rose Taupe,#905d5d,144,93,93,Autumn
